billname,xgb_ap_score
interstate compact on educational opportunity for military children,0.3827442429603982
adult guardianship and protective proceedings jurisdiction act,0.22711605460041906
interstate depositions and discovery act,0.2828831279049979
limited cooperative association act (2007) (last amended 2013),0.06562712375326264
limited liability company (2006) (last amended 2013),0.13463854245121984
unincorporated nonprofit association act (2008) (last amended 2011),0.032529754742620265
principal and income amendments (2008),0.31362745358757954
estate_ta,0.3931643916648571
"discovery of electronically stored information, rules relating to",0.024720786606304324
interstate family support act amendments (2008),0.080046092280138
common interest ownership act (2008),0.11562440973327716
probate code amendments (2008),0.21835161679925985
breastdensity,0.10683040343213211
common interest owners bill of rights,0.06944444444444443
collaborative law act,0.09432826834870739
"law on notarial acts, revised",0.37517096272759237
real property transfer on death act,0.06626943558272659
insurable interest amendment to the uniform trust code,0.055916968822134344
surplus lines insurance multi-state compliance compact,0.2280709101719428
fetalpain,0.30550014307752066
admittpriv,0.3685382049954226
electronic recordation of custodial interrogations,0.007353742237716527
ucc article 9 amendments (2010),0.6255485028437101
ins_stateexch,0.2190512236360744
faithful presidential electors act,0.1617633828160144
military and overseas voters act,0.1110540641553475
health care compact,0.08769215292941694
newbornheartscreen,0.3792254547080307
partition of heirs property act,0.07197860755557459
debt-management services (2011),0.05554112554112554
electronic legal material act,0.29142931772715985
ucc article 4a amendments (2012),0.45190618589154524
statutory trust entity act,0.0
certificate of title for vessels act,0.03471146207045699
emergency medical services personnel licensure interstate compact,0.3055555555555555
deployed parents custody and visitation act,0.35485743062704334
premarital and marital agreements act,0.9166666666666666
fetalheart,0.5363492063492062
compact for a balanced budget,0.04804393137726471
powers of appointment,0.040046296296296295
collateral consequences of conviction act,0.05555555555555556
prevention of and remedies for human trafficking,0.4102417278952366
"protection of charitable assets act, model",0.09294871794871795
fiduciary access to digital assets act (2014),0.048645955659940926
