billname,original_ap_score,logit_ap_score
standground,0.036142169807490014,0.03724626518046697
manclin,0.055346209635275166,0.055568075185819556
sdce,0.07456689014767567,0.07512296944163263
universalprek,0.027136997097266972,0.026747750173542337
ide,0.198277892551012,0.1978823226599441
paperterror,0.3421206221878998,0.346161476663005
health-care decisions act,0.0234500137206201,0.025874703971020114
correction or clarification of defamation,0.01224681641742411,0.011722132447022781
drugs_smoking_ban_restaurant,0.20813225016111023,0.2111602076503093
neighnot,0.02459510661545096,0.021810650547068672
w_animal_cruelty_felon,0.019684879272145545,0.01965351199536719
mandnot,0.01869555694683928,0.018638249120134356
medianot,0.0236231884057971,0.023805926939677858
"victims of crime act, model",0.05555555555555555,0.05291005291005291
common interest ownership act (1994),0.01856454870281187,0.018827627482230158
interstate insurance receivership compact,0.02145002145002145,0.02115410315777963
"ucc article 8, investment securities (1994)",0.48989568407335493,0.4895651199403325
unclaimed property act,0.020373999395086682,0.019713903813036525
anyactnot,0.028806759136684568,0.02736003034131147
emergency management assistance compact,0.20839816173395592,0.21209734683946535
discrenot,0.020931604331710894,0.01996127748683878
smokeban,0.09919198565556535,0.09889245885041753
environment_publicbenefit_fund,0.2217203964083292,0.22062956105460163
pubbenefits_yearadopted,0.26180545418866147,0.2607701318079126
idtheft,0.3229804081429115,0.3227147150705607
ultrasound,0.09814268319785488,0.10030346304372585
dev_s9,0.017644065085286383,0.01767182004286367
elecdereg,0.3241398366442662,0.32826159356982326
dev_s8,0.01929824561403509,0.01929364092646314
abortion_partial_birt,0.07277790800317321,0.07210119198735146
dev_s2,0.01913862461195536,0.019453795556720062
restruct,0.21399533429189171,0.2115476760677939
"ucc article 5, letters of credit (1995)",0.38003250975966874,0.37975362569651966
certification of questions of law (1995),0.02521894671975498,0.02531968468326343
continsurance,0.08263541135118742,0.08256735000764298
gdl,0.3241720465352203,0.3241814973305992
optinnot,0.06608393393230444,0.06608393393230444
adoption act (1994),0.022727272727272728,0.022903453136011276
methpre,0.14183310666085053,0.14700981834752516
drugs_medical_marijuan,0.07716302710638452,0.07752334633665332
banfaninc,0.11776705840848903,0.11769039867431634
rps_yearadopted,0.13857456539935847,0.13787207933421428
pre20wk,0.160217494253003,0.1604869936782042
limited liability company (1995)(1996),0.0402911629438347,0.040105507312792006
principal and income act (2000),0.14012100576307734,0.13891831553882925
emcont_avail,0.08803727130404972,0.08803789361438208
dev_s5,0.016300716032534433,0.015965069413345273
interreg,0.039084037850787325,0.03824910791548927
postdna,0.15357439143633997,0.15395931370678848
planned community act,0.05,0.049206349206349205
dnaforexon,0.1907722266418792,0.18853814699905433
terrorfund,0.08777754958119374,0.09368719236509603
contr_eq,0.09326291367454001,0.09329454986716179
cyberstalk,0.14689667771713683,0.14779378351846598
harass,0.05111671802700156,0.05539711150952065
stalkdef,0.18289217966774093,0.18217855067734504
regulation_physician_suicid,0.042661298833348724,0.0368062606240022
w_ec_access_expan,0.0394482810584861,0.04266453438411907
kinship,0.08805347949487133,0.08844570181805038
sundayban,0.18609145563239476,0.1849796168574278
nurse licensure compact,0.043868445357227365,0.04371282288046182
civinjaut,0.1547038311034471,0.14649905302263336
hostliability,0.09291754048899711,0.08878845103835747
giexorder,0.044628104890704005,0.045272802195239124
gayrights_hatecrime,0.10843116326532254,0.1084376305065734
antibully,0.20535851993433596,0.20830883411239332
antishack,0.01932724331909816,0.02033605763077542
wmd,0.23296178936265724,0.23067458633343518
autism,0.1531094964554048,0.15310145164744185
ccreceipt,0.1047671736093761,0.10523760544627038
racialpro,0.1547239520084554,0.15376632044107827
amber,0.4616968829343507,0.46666316338559843
electronic transactions act,0.21788885478597125,0.21797983228098458
naticurric,0.09840237157810047,0.09645757008482476
national crime prevention and privacy compact,0.06221285242450022,0.06150700461519112
computer information transactions act,0.07323232323232323,0.07474747474747474
gayrights_civilunion,0.1346665174211611,0.09210625128184453
dnafelon,0.188929879598172,0.19000903618649467
environment_electronic_wast,0.11385611382860339,0.1139941761378462
licenseplate,0.09303639104984163,0.09279744342752394
w_educ_biblepubli,0.07692307692307693,0.06072874493927125
interstate compact on licensure of participants in horse racing with pari-mutuel wagering,0.07726491144293232,0.07839602130949876
disclaimer of property interests act,0.03234749221997409,0.03231269063956418
inst_tu_und,0.05284691943729357,0.0527913317031559
parentage act,0.03743131284309963,0.043048216194647514
medicalrest,0.07184358739544727,0.07233695546840536
athlete agents act,0.1644135599438571,0.16446523199009852
arbitration act (2000),0.06946419143907248,0.06613463473068408
money services act,0.015952223925286647,0.01572026557047501
credfreez,0.12442506730333565,0.12456419350536158
undoctuit,0.07645741890579649,0.07634098957550972
immigration_instate_tuition_ill,0.0699441345135545,0.06723627060855966
interstate enforcement of domestic violence protection orders act,0.036375313740540136,0.03631269452387858
consumer leases act,0.03125,0.03125
unsworn foreign declarations act (2008),0.0495275059331273,0.04413614775545424
trust code,0.05738509676285354,0.057359329900406375
interstate family support act (2001),0.19191495636382946,0.19365942948698553
drugs_smoking_ban_workplace,0.10977275214353019,0.10945420009852565
ewaste,0.11987656049442982,0.12889248965694305
vouchers,0.5,0.4166666666666667
"ucc article 1, general provisions (2001)",0.2141567072202229,0.21414402400704388
interstate insurance product regulation compact,0.20061332686525074,0.20074869149600386
worksitebanstate,0.12191587059633752,0.1207317186574363
mediation act,0.03202957353492509,0.03228175122299822
