"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"WV",1992,-0.488436698913574,0,0,-0.580635130405426,1.69268560409546,1,-0.672555088996887,-0.65637868642807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WI",1992,-0.488436698913574,0,0,0.0246618688106537,0.638479173183441,0,0.109235398471355,2.16044688224792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WY",1992,-0.488436698913574,1,15,-0.832648873329163,-0.105193272233009,0,-0.0266323275864124,-1.14090549945831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AK",1993,1.38301944732666,1,10,-0.807605266571045,0.249215856194496,0,0.8891322016716,0.296250402927399,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AZ",1993,0.904358625411987,1,12.5,-0.155850470066071,-0.520934522151947,1,-0.267439633607864,-0.0897285640239716,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"CO",1993,1.34242177009583,1,5,-0.240790143609047,-0.294077098369598,0,0.432370960712433,-0.196488693356514,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"CT",1993,3.45390868186951,0,0,-0.29805999994278,0.922947883605957,0,1.80518114566803,-0.1472148001194,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"FL",1993,0.834400773048401,1,8,1.69857096672058,-0.0496959909796715,0,0.324543178081512,0.435859858989716,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"GA",1993,1.30742108821869,0,0,0.391878038644791,-0.591670393943787,1,-0.0370190292596817,-0.73028951883316,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"ID",1993,-0.488436698913574,1,2,-0.718801915645599,-0.426726013422012,0,-0.432435095310211,-0.705652594566345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"IA",1993,0.951789021492004,0,0,-0.386853963136673,-0.0825671628117561,0,-0.212457284331322,-0.262187272310257,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
