fips,policy_num,state,abbrev,stateno1,year_adopted,state_pol_id,year,adopt_policy,fem_dem,religadhrate,norrander_legality,initdif,uni_dem_leg,time,time2,nbrspct,webster,state_policy,dem_gov,rescaledmedincome,rescaledpopsize,policy_name
20,2,Kansas,KS,16,2011.0,647,1975,0.0,0.055,0.53089416,2.83,0,0,2,4,0.25,0,557,0,1.3231,0.23060355,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1975,0.0,0.014,0.58601534,3.02,0,1,2,4,0.0,0,631,1,1.0994,0.392309,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1975,0.0,0.02,0.61808807,2.72,3,0,2,4,0.33333334,0,964,1,1.2226,0.11413955,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1975,0.0,0.061,0.4843261,2.78,5,1,2,4,0.0,0,1260,0,1.1939,1.0724508,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1975,0.0,0.04,0.565438,2.68,4,1,2,4,0.16666667,0,1297,1,1.4364,0.27926266,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1975,0.0,0.036,0.60078293,2.85,0,1,2,4,0.16666667,0,1371,1,1.3386,1.1830454,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1975,0.0,0.077,0.79385436,2.73,4,1,2,4,0.0,0,1593,1,1.304,0.12601365,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1976,0.0,0.189,0.4276073,2.28,4,0,3,9,0.0,0,76,1,1.3973,0.23397927,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1976,0.0,0.022,0.50703776,2.93,5,1,3,9,0.14285715,0,113,1,1.0157,0.2140318,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1976,0.0,0.038,0.34097946,2.24,6,1,3,9,0.0,0,150,1,1.5561,2.2182653,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1976,0.0,0.044,0.4668665,2.83,0,1,3,9,0.6,0,335,1,1.2423,0.511423,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1976,0.0,0.084,0.5146378,2.61,5,0,3,9,0.0,0,409,1,1.7534,0.08522032,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1976,0.0,0.057,0.4471065,2.73,0,0,3,9,0.0,0,483,0,1.6437,0.53720677,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1976,0.0,0.061,0.53159684,2.83,0,0,3,9,0.25,0,557,0,1.4123,0.23174284,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1976,0.0,0.014,0.5835587,3.02,0,1,3,9,0.0,0,631,1,1.1737,0.3979072,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1976,0.0,0.031,0.6208926,2.72,3,0,3,9,0.33333334,0,964,1,1.3025,0.10729164,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1976,0.0,0.061,0.48648682,2.78,5,1,3,9,0.0,0,1260,0,1.2778,1.0739007,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1976,0.0,0.044,0.5683109,2.68,4,1,3,9,0.16666667,0,1297,1,1.5212,0.28393012,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1976,0.0,0.04,0.60253966,2.85,0,1,3,9,0.16666667,0,1371,1,1.4235,1.1837764,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1976,0.0,0.067,0.7854668,2.73,4,1,3,9,0.0,0,1593,1,1.3957,0.13003093,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1977,0.0,0.178,0.41985068,2.28,4,0,4,16,0.0,0,76,1,1.4798,0.24343444,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1977,0.0,0.022,0.51524854,2.93,5,1,4,16,0.14285715,0,113,1,1.0842,0.21764885,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1977,0.0,0.05,0.34190515,2.24,6,1,4,16,0.0,0,150,1,1.6455,2.255424,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1977,0.0,0.047,0.4677608,2.83,0,1,4,16,0.6,0,335,1,1.3174,0.52016723,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1977,0.0,0.084,0.5111186,2.61,5,0,4,16,0.0,0,409,1,1.8513,0.08754024,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1977,0.0,0.053,0.44728583,2.73,0,0,4,16,0.0,0,483,0,1.7398,0.54018,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1977,0.0,0.067,0.5322995,2.83,0,0,4,16,0.25,0,557,0,1.5015,0.23288213,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1977,0.0,0.014,0.58110195,3.02,0,1,4,16,0.0,0,631,1,1.2479,0.4035054,Ban 20 week to viability
