"state","year","adagovideology","citizenideology","medianivoteshare","partydecline","squirescore","incunemp","pctpercapincome","percenturban","ugovd","percentfossilprod","renergyprice11","deregulated","geoneighborlag","ideoneighborlag","premulation1","featureyear","intercept","event","billnum"
"Oklahoma",2008,49.4000015258789,33.7999992370605,100,0,0.187000006437302,-0.400000005960464,92.0599975585938,65.3000030517578,0,97.1704254150391,21.1399993896484,0,0.117647059261799,0.164300203323364,0,12,1,0,146
"Oregon",2008,91,74.0999984741211,61.9199981689453,0,0.158999994397163,1.29999995231628,91.3499984741211,78.6999969482422,1,0.192539110779762,21.6200008392334,1,0.123732253909111,0.409736305475235,0.0482315123081207,12,1,0,146
"Pennsylvania",2008,77.6999969482422,71.8000030517578,72.6900024414062,0,0.33899998664856,0.899999976158142,99.3300018310547,77.0999984741211,0,65.9719696044922,22.1700000762939,1,0.146044626832008,0.279918849468231,0.0482315123081207,12,1,0,146
"South Carolina",2008,10.1999998092651,47.9000015258789,100,0,0.123999997973442,1.20000004768372,80.5199966430664,60.5,0,0,21.25,0,0.0365111567080021,0.0324543602764606,0,12,1,0,146
"South Dakota",2008,21.7999992370605,55.9000015258789,35.2000007629395,0,0.0640000030398369,0.100000001490116,98.4499969482422,51.9000015258789,0,7.37652349472046,20.3700008392334,0,0.103448279201984,0.0770791098475456,0,12,1,0,146
"Tennessee",2008,72.8000030517578,47.7999992370605,84.129997253418,0,0.11599999666214,1.79999995231628,85.75,63.5999984741211,0,13.6815919876099,21.3600006103516,0,0.0831642970442772,0.288032442331314,0,12,1,0,146
"Texas",2008,14.8999996185303,47.7000007629395,79.5299987792969,1,0.199000000953674,0.5,96.75,82.5,0,93.6075210571289,22.3799991607666,1,0.0365111567080021,0,0.0289389062672853,12,1,0,146
"Utah",2008,7.90000009536743,28.3999996185303,70.1999969482422,0,0.0649999976158142,0.699999988079071,83.0999984741211,88.1999969482422,0,98.8033142089844,19.3799991607666,0,0.172413796186447,0.0324543602764606,0,12,1,0,146
"Vermont",2008,82,87.3000030517578,49.0499992370605,0,0.143999993801117,0.600000023841858,96.3000030517578,38.2000007629395,0,0,27.8999996185303,0,0.109533466398716,0.342799186706543,0.0289389062672853,12,1,0,146
"Virginia",2008,76,60,100,0,0.130999997258186,0.899999976158142,109.139999389648,73,0,64.8859558105469,21.9200000762939,0,0.0730223134160042,0.288032442331314,0.025723472237587,12,1,0,146
"Washington",2008,95.3000030517578,68.8000030517578,67.3600006103516,0,0.196999996900558,0.800000011920929,107.709999084473,82,1,0,21.3400001525879,0,0.0365111567080021,0.290060847997665,0.0385852083563805,12,1,0,146
"West Virginia",2008,87.9000015258789,79.3000030517578,40.5299987792969,0,0.125,0,76.4100036621094,46.0999984741211,1,99.2981643676758,18.2700004577637,0,0.105476669967175,0.535496950149536,0,12,1,0,146
"Wisconsin",2008,78.6999969482422,60.7999992370605,67.5699996948242,0,0.439000010490417,0,93.2200012207031,68.3000030517578,0,0,20.8799991607666,0,0.0831642970442772,0.229208931326866,0.041800644248724,12,1,0,146
"Wyoming",2008,41.2000007629395,29.6000003814697,100,0,0.0540000014007092,0.300000011920929,119.919998168945,65.0999984741211,0,99.800666809082,18.5400009155273,0,0.0507099404931068,0.0811359062790871,0,12,1,0,146
"Iowa",2009,94.5999984741211,53.2999992370605,63.310001373291,0,0.166999995708466,2.20000004768372,95.6999969482422,61.0999984741211,1,0,14.6599998474121,0,0.136678203940392,0.370242208242416,0.00267379707656801,13,1,0,146
"Alabama",2009,28.8999996185303,27.2999992370605,79.2399978637695,0,0.0780000016093254,4.80000019073486,83.870002746582,55.4000015258789,0,53.0807991027832,16.9599990844727,0,0,0.0674740448594093,0,13,1,0,146
"Alaska",2009,46.5999984741211,64.1999969482422,69.8499984741211,0,0.216999992728233,1.29999995231628,110.550003051758,65.5999984741211,0,99.1528167724609,19.0599994659424,0,0,0.128027677536011,0,13,1,0,146
"Arizona",2009,5.59999990463257,44.2000007629395,38.6699981689453,0,0.270999997854233,3.79999995231628,86.8600006103516,88.1999969482422,0,28.6651306152344,20.6800003051758,0,0.166089966893196,0.0588235296308994,0.0374331548810005,13,1,0,146
