billname,original_ap_score,logit_ap_score
higrenew,0.4112673845594661,0.41514822561637416
hiport,0.47590158650195835,0.4668535549038883
hiprecon,0.40674372924086777,0.40484266345618564
hostliability,0.07736152075829149,0.08619609460064821
humantraffic,0.4155744247349601,0.39817467033010656
idas,0.17785166902096594,0.18469393692260158
ide,0.31625547157349915,0.32673342285562845
idtheft,0.4112017281127336,0.4126100103800809
immigration_instate_tuition_ill,0.037503987255288744,0.03147534700102527
indgaming,0.13662528563669699,0.13923767202857215
indlimit,0.26304829523016726,0.26926113918250055
indorgris,0.09286123474836885,0.09494084217220905
infanthear,0.12337195863730659,0.1359103110139335
ins_stateexch,0.3317229625083048,0.3153823982483284
inst_tu_und,0.07979465169793674,0.07847718858077687
inst_tu_vet,0.057127634966669394,0.05845551961344179
insurable interest amendment to the uniform trust code,0.039004774313084745,0.03530897177353098
interreg,0.046175664508436326,0.04617714784833612
interstate compact on educational opportunity for military children,0.3458607485283142,0.3332252752459329
interstate compact on industrialized/modular buildings,0.015141065830721005,0.014129872218447461
interstate compact on licensure of participants in horse racing with pari-mutuel wagering,0.11475022673664484,0.10594830145707412
interstate depositions and discovery act,0.12878247233938345,0.13107104720992865
interstate enforcement of domestic violence protection orders act,0.05449655258354981,0.05949182339878432
interstate family support act (1992)(1996),0.3519342723272545,0.34855681799452265
interstate family support act (2001),0.12658179833307504,0.1273065054521598
interstate family support act amendments (2008),0.06442588076032063,0.049648753852493954
interstate forest fire suppression compact,0.025619375063201534,0.02550845047785072
interstate insurance product regulation compact,0.19619669389258781,0.19540476470879678
interstate insurance receivership compact,0.08680315926692739,0.09024135781263916
"intestacy, wills, and donative transfers act",0.018259158938692652,0.0174752237784736
kinship,0.1334310223145578,0.136948911561102
"law on notarial acts, revised",0.034232699284576,0.034646962233169126
license_plates,0.0093902449661873,0.010149017809479353
licenseplate,0.06584364493788944,0.094028428939124
limited cooperative association act (2007) (last amended 2013),0.03592662055707968,0.03650739545370147
limited liability company (1995)(1996),0.04547711386893728,0.044455970528996414
limited liability company (2006) (last amended 2013),0.038173625334712386,0.03798573643335104
limited partnership act (2001) (last amended 2013),0.06431634464622919,0.05972635030501602
manaccess,0.057499142636136286,0.056882247590050665
management of public employee retirement systems act,0.05625,0.04945054945054945
manclin,0.2053626409829604,0.21008260451087044
mandnot,0.03696836903014407,0.032339138399511906
